Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:20,10,8000EBD30,10,8000EBD30,3697.34,US Dollar,3697.34,US Dollar,Reinvestment,0
2022/09/01 00:20,3208,8000F4580,1,8000F5340,0.01,US Dollar,0.01,US Dollar,Cheque,0
2022/09/01 00:00,3209,8000F4670,3209,8000F4670,14675.57,US Dollar,14675.57,US Dollar,Reinvestment,0
2022/09/01 00:02,12,8000F5030,12,8000F5030,2806.97,US Dollar,2806.97,US Dollar,Reinvestment,0
2022/09/01 00:06,10,8000F5200,10,8000F5200,36682.97,US Dollar,36682.97,US Dollar,Reinvestment,0
2022/09/01 00:03,1,8000F5AD0,1,8000F5AD0,6162.44,US Dollar,6162.44,US Dollar,Reinvestment,0
2022/09/01 00:08,1,8000EBAC0,1,8000EBAC0,14.26,US Dollar,14.26,US Dollar,Reinvestment,0
2022/09/01 00:16,1,8000EC1E0,1,8000EC1E0,11.86,US Dollar,11.86,US Dollar,Reinvestment,0
2022/09/01 00:26,12,8000EC280,2439,8017BF800,7.66,US Dollar,7.66,US Dollar,Credit Card,0
2022/09/01 00:21,1,8000EDEC0,211050,80AEF5310,383.71,US Dollar,383.71,US Dollar,Credit Card,0
2022/09/01 00:04,1,8000F4510,11813,8011305D0,9.82,US Dollar,9.82,US Dollar,Credit Card,0
2022/09/01 00:04,1,8000F47F0,1,8000F47F0,9.38,US Dollar,9.38,US Dollar,Reinvestment,0
2022/09/01 00:08,1,8000F4FE0,245335,812ED62E0,4.01,US Dollar,4.01,US Dollar,Credit Card,0
2022/09/01 00:17,10,80012FD90,36056,812ED6380,106.7,US Dollar,106.7,US Dollar,Credit Card,0
2022/09/01 00:11,12,80012FE00,13037,805B34210,0.54,US Dollar,0.54,US Dollar,Credit Card,0
2022/09/01 00:09,1,80012FE50,1,80012FE50,3944232.29,US Dollar,3944232.29,US Dollar,Reinvestment,0
2022/09/01 00:11,10,80012FEA0,10,80012FEA0,10020.68,US Dollar,10020.68,US Dollar,Reinvestment,0
2022/09/01 00:00,1420,8005DFEB0,1420,8005DFEB0,897.37,US Dollar,897.37,US Dollar,Reinvestment,0
2022/09/01 00:28,1665,8005E18F0,1665,8005E18F0,157.57,US Dollar,157.57,US Dollar,Reinvestment,0
2022/09/05 22:03,1,8000EBAC0,12,8000F5030,4821.31,US Dollar,4821.31,US Dollar,ACH,1
2022/09/05 12:15,10,80012FD90,513,800772CA0,1233.08,US Dollar,1233.08,US Dollar,Cheque,0
2022/09/03 21:22,12719,80683EE80,36056,812ED6380,2353.44,US Dollar,2353.44,US Dollar,Credit Card,0
2022/09/10 14:29,1,80012FE50,1665,8005FB6B0,2036.06,US Dollar,2036.06,US Dollar,ACH,0
2022/09/02 18:36,1,8000EDEC0,22828,8010F0F90,310.97,US Dollar,310.97,US Dollar,Cheque,0
2022/09/05 02:50,1,8000F5340,11974,804D2AB40,77.4,US Dollar,77.4,US Dollar,Cheque,0
2022/09/08 02:49,245335,812ED62E0,127142,814449AD0,73.84,US Dollar,73.84,US Dollar,Cash,0
2022/09/10 21:13,11813,8011305D0,3420,80318C4D0,233.78,US Dollar,233.78,US Dollar,Cheque,0
2022/09/02 00:31,1,8000F4510,1,800174A80,275.64,US Dollar,275.64,US Dollar,Cheque,0
2022/09/01 06:17,245335,812ED62E0,127142,814449AD0,119.1,US Dollar,119.1,US Dollar,Credit Card,0
2022/09/03 00:15,10,801390E60,1,8000F47F0,8.46,US Dollar,8.46,US Dollar,Credit Card,0
2022/09/02 23:37,10,80012FD90,10,800189BC0,86.41,US Dollar,86.41,US Dollar,Cheque,0
2022/09/02 20:27,2439,8017BF800,28255,805E04B70,564.64,US Dollar,564.64,US Dollar,ACH,0
2022/09/06 06:41,1,8000F4FE0,4766,809C1EA30,90.53,US Dollar,90.53,US Dollar,Credit Card,0
2022/09/03 00:03,5140,80F7D5C70,12,8000F5030,93.45,US Dollar,93.45,US Dollar,Credit Card,0
2022/09/06 00:01,12,80012FE00,149089,81361C280,284.08,US Dollar,284.08,US Dollar,Credit Card,0
2022/09/01 06:02,245335,812ED62E0,127142,814449AD0,62.34,US Dollar,62.34,US Dollar,Cheque,0
2022/09/05 00:26,2952,80F7CE4C0,1,8000F5340,8.41,US Dollar,8.41,US Dollar,Credit Card,0
2022/09/07 20:32,1,8000F4FE0,795,806716D20,1023.59,US Dollar,1023.59,US Dollar,Credit Card,0
2022/09/08 00:28,6156,80BEE00A0,1,80012FE50,24.36,US Dollar,24.36,US Dollar,Credit Card,0
2022/09/07 05:01,1,8000F4510,1,800174A80,275.64,US Dollar,275.64,US Dollar,Cheque,0
2022/09/06 05:55,1,8000EDEC0,1,8001A4F40,893.02,US Dollar,893.02,US Dollar,Cheque,0
2022/09/09 00:28,1,8000F4FE0,13037,805B34210,43.46,US Dollar,43.46,US Dollar,Credit Card,0
2022/09/09 17:52,10,80012FD90,10,800189BC0,86.41,US Dollar,86.41,US Dollar,Cheque,0
2022/09/09 04:20,1,8000F47F0,1292,800162950,48.7,US Dollar,48.7,US Dollar,Credit Card,0
2022/09/06 21:22,12719,80683EE80,36056,812ED6380,8377.07,US Dollar,8377.07,US Dollar,Cheque,0
2022/09/03 00:02,26442,80A0EF050,1,8000F5AD0,116.14,US Dollar,116.14,US Dollar,Credit Card,0
2022/09/01 10:37,1,8000F4FE0,4766,809C1EA30,305.18,US Dollar,305.18,US Dollar,Cheque,0
2022/09/07 01:15,1,8000EC1E0,13264,8027AF4C0,270.83,US Dollar,270.83,US Dollar,Cheque,0
2022/09/01 00:11,2952,80F7CE4C0,1,8000EC1E0,128.9,US Dollar,128.9,US Dollar,Credit Card,0
2022/09/05 15:34,12719,80683EE80,36056,812ED6380,2353.44,US Dollar,2353.44,US Dollar,Credit Card,0
2022/09/02 00:02,12,80012FE00,13145,8017BF990,71.39,US Dollar,71.39,US Dollar,Credit Card,0
2022/09/01 15:42,12,80012FE00,16031,804D1FD40,1700.55,US Dollar,1700.55,US Dollar,Cheque,0
2022/09/08 22:37,13037,805B34210,1362,80718CD40,563783.93,US Dollar,563783.93,US Dollar,Cheque,0
2022/09/06 15:05,1,8000F47F0,1292,800162950,11.54,US Dollar,11.54,US Dollar,ACH,0
2022/09/10 23:07,1,8000EDEC0,1,8001A4F40,890.42,US Dollar,890.42,US Dollar,Credit Card,0
2022/09/08 11:23,1,8000F47F0,1292,800162950,11.54,US Dollar,11.54,US Dollar,ACH,0
2022/09/07 13:27,21174,801AC65C0,211050,80AEF5310,1645.14,US Dollar,1645.14,US Dollar,ACH,0
2022/09/01 00:24,1,8000F4510,211050,80A528B70,26342.48,US Dollar,26342.48,US Dollar,Cheque,0
