Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:11,1362,8019FB070,1362,8019FB070,3.89,US Dollar,3.89,US Dollar,Reinvestment,0
2022/09/01 00:04,3420,801D9FF00,3420,801D9FF00,19.24,US Dollar,19.24,US Dollar,Reinvestment,0
2022/09/01 00:03,15768,8149656B0,15768,8149656B0,10.91,US Dollar,10.91,US Dollar,Reinvestment,0
2022/09/01 00:19,10,800042E70,10,800042E70,9.63,US Dollar,9.63,US Dollar,Reinvestment,0
2022/09/01 00:14,10,800043990,10,800043990,23.63,US Dollar,23.63,US Dollar,Reinvestment,0
2022/09/01 00:22,12,800054B70,12,800054B70,10.44,US Dollar,10.44,US Dollar,Reinvestment,0
2022/09/01 00:16,10,800052F90,10,800052F90,1111098.7,US Dollar,1111098.7,US Dollar,Reinvestment,0
2022/09/01 00:26,12,800043C00,12,800043C00,755.25,US Dollar,755.25,US Dollar,Cheque,0
2022/09/01 00:20,12,800043C00,12,800043C00,876.16,US Dollar,876.16,US Dollar,Credit Card,0
2022/09/01 00:03,1,800056160,1,800056160,5439.01,US Dollar,5439.01,US Dollar,Reinvestment,0
2022/09/01 00:04,1,800056370,1,800056370,14.6,US Dollar,14.6,US Dollar,Reinvestment,0
2022/09/01 00:20,10,800056660,10,800056660,4461.81,US Dollar,4461.81,US Dollar,Cheque,0
2022/09/01 00:03,10,800056660,10,800056660,1134.32,US Dollar,1134.32,US Dollar,Credit Card,0
2022/09/01 00:18,10,800056660,10,800056660,726.94,US Dollar,726.94,US Dollar,Cash,0
2022/09/01 00:12,10,800056660,10,800056660,297.27,US Dollar,297.27,US Dollar,ACH,0
2022/09/01 00:14,10,800056660,10,800056660,14.84,US Dollar,14.84,US Dollar,Reinvestment,0
2022/09/01 00:16,1,800056CB0,1,800056CB0,40939.45,US Dollar,40939.45,US Dollar,Reinvestment,0
2022/09/01 00:17,1,800056CB0,1,800056CB0,3.31,US Dollar,3.31,US Dollar,Reinvestment,0
2022/09/01 00:03,1,800057620,1,800057620,4.58,US Dollar,4.58,US Dollar,Reinvestment,0
2022/09/01 00:10,1,800057A10,1,800057A10,755232.33,US Dollar,755232.33,US Dollar,Reinvestment,0
2022/09/01 00:11,1,800057D40,1,800057D40,5.5,US Dollar,5.5,US Dollar,Reinvestment,0
2022/09/01 06:46,23,8001FE5D0,12,800054B70,18748.97,US Dollar,18748.97,US Dollar,ACH,1
2022/09/03 08:47,20,80012E0B0,12,800054B70,8369.42,US Dollar,8369.42,US Dollar,ACH,1
2022/09/03 07:04,12,800054B70,410,8002438B0,12156.43,Euro,12156.43,Euro,ACH,1
2022/09/03 21:58,12,800054B70,12,8002924E0,3042618.84,Euro,3042618.84,Euro,ACH,1
2022/09/04 11:04,12,800054B70,11,800240F20,219.13,Euro,219.13,Euro,ACH,1
2022/09/05 09:55,12,800054B70,11,8001205B0,4878.69,Euro,4878.69,Euro,ACH,1
2022/09/05 10:43,12,800054B70,28,8000B4150,262128.59,Mexican Peso,262128.59,Mexican Peso,ACH,1
2022/09/05 20:13,12,800054B70,11,8001021C0,11139.43,Euro,11139.43,Euro,ACH,1
2022/09/04 09:59,1,800056160,1362,8001ECD70,4383.81,US Dollar,4383.81,US Dollar,ACH,1
2022/09/08 02:28,20,80026E2C0,12,800054B70,15377.16,US Dollar,15377.16,US Dollar,ACH,1
2022/09/07 14:03,70,100428660,1,800057620,1619.79,US Dollar,1619.79,US Dollar,Cheque,1
2022/09/11 10:32,20,800195070,10,800043990,9340.72,US Dollar,9340.72,US Dollar,ACH,1
2022/09/02 18:00,12,800043C00,1665,8003A7970,1982.61,US Dollar,1982.61,US Dollar,Credit Card,0
2022/09/05 09:17,70,100428660,1,800057620,1619.79,US Dollar,1619.79,US Dollar,Cheque,0
2022/09/07 14:14,1,800057D40,1665,800F013F0,28.14,US Dollar,28.14,US Dollar,Cash,0
2022/09/03 05:58,10,800052F90,220,8001AB620,37.38,US Dollar,37.38,US Dollar,Credit Card,0
2022/09/10 05:43,1,800057D40,220,80047E7B0,9134.5,US Dollar,9134.5,US Dollar,Credit Card,0
2022/09/01 08:11,1,800056160,1362,80034D670,2153.58,US Dollar,2153.58,US Dollar,ACH,0
2022/09/03 17:15,1,800057D40,513,8005A1B80,529.35,US Dollar,529.35,US Dollar,Cheque,0
2022/09/01 01:17,10,800052F90,513,8003C0B00,237.78,US Dollar,237.78,US Dollar,Credit Card,0
2022/09/02 07:41,1,800057D40,1,800057D40,1204.17,US Dollar,1204.17,US Dollar,Cheque,0
2022/09/02 03:47,12,800054B70,12,800054B70,104.36,US Dollar,104.36,US Dollar,Credit Card,0
2022/09/02 22:15,1,800056CB0,1068,8012261B0,69969.0,US Dollar,69969.0,US Dollar,ACH,0
2022/09/02 21:34,10,800052F90,1,8001E6840,38228.71,US Dollar,38228.71,US Dollar,Cash,0
2022/09/05 15:59,1,800057620,1362,8002CE270,27332.88,US Dollar,27332.88,US Dollar,ACH,0
2022/09/01 18:34,10,800043990,10,8000F3740,1153.97,US Dollar,1153.97,US Dollar,Cash,0
2022/09/09 12:14,12,800054B70,1601,800BA8190,1553.19,US Dollar,1553.19,US Dollar,Cheque,0
2022/09/06 08:50,1,800056CB0,1674,800618D90,15532.45,US Dollar,15532.45,US Dollar,Credit Card,0
2022/09/08 13:10,10,800052F90,1,8002BC1B0,1157.4,US Dollar,1157.4,US Dollar,Cash,0
2022/09/01 15:58,10,800056660,241686,81267E980,44.33,US Dollar,44.33,US Dollar,Cheque,0
2022/09/01 00:20,1,800056160,216645,80CF58D90,5315.32,US Dollar,5315.32,US Dollar,Credit Card,0
2022/09/05 11:45,10,800042E70,1674,8008150E0,88.15,US Dollar,88.15,US Dollar,Credit Card,0
2022/09/03 17:27,1,800057D40,513,8005A1B80,284.15,US Dollar,284.15,US Dollar,Credit Card,0
2022/09/10 12:57,10,800042E70,1,800115570,1535.66,US Dollar,1535.66,US Dollar,Cheque,0
2022/09/08 17:23,1,800056CB0,1674,800618D90,15532.45,US Dollar,15532.45,US Dollar,Credit Card,0
2022/09/06 07:47,1,800057D40,795,8005F5810,793.66,US Dollar,793.66,US Dollar,Credit Card,0
2022/09/01 13:20,10,800043990,10,800146140,101.13,US Dollar,101.13,US Dollar,Cash,0
2022/09/10 14:15,1,800057D40,513,8005A1B80,7.31,US Dollar,7.31,US Dollar,ACH,0
2022/09/01 03:51,10,800052F90,4403,80632A9F0,4283.54,US Dollar,4283.54,US Dollar,Cheque,0
2022/09/01 23:37,10,800052F90,10,800052F90,16.22,US Dollar,16.22,US Dollar,Reinvestment,0
2022/09/04 12:53,10,800042E70,17732,809755E00,90.24,US Dollar,90.24,US Dollar,Cheque,0
2022/09/09 19:16,1,800057A10,1,800057A10,860660.77,US Dollar,860660.77,US Dollar,Cash,0
2022/09/01 17:43,10,800043990,3698,804836490,1981.56,US Dollar,1981.56,US Dollar,Cheque,0
2022/09/09 15:52,12,800054B70,220,8001933D0,302.85,US Dollar,302.85,US Dollar,Credit Card,0
2022/09/09 10:32,1,800056CB0,1674,800618D90,130.83,US Dollar,130.83,US Dollar,ACH,0
2022/09/03 19:51,10,800042E70,17732,809755E00,90.24,US Dollar,90.24,US Dollar,Cheque,0
2022/09/05 01:24,15768,8149656B0,15768,8149656B0,989.42,US Dollar,989.42,US Dollar,ACH,0
2022/09/07 15:24,10,800042E70,1,800115570,2407.09,US Dollar,2407.09,US Dollar,Credit Card,0
2022/09/02 02:35,1,800057D40,1,80011AA30,126.35,US Dollar,126.35,US Dollar,ACH,0
2022/09/07 21:02,10,800043990,12,8001F7C90,183.42,US Dollar,183.42,US Dollar,Credit Card,0
2022/09/01 00:02,1,800056160,10,80010BFC0,19821.49,US Dollar,19821.49,US Dollar,ACH,0
2022/09/04 14:17,12,800043C00,12,800043C00,20583.89,US Dollar,20583.89,US Dollar,Credit Card,0
