Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:21,70,100428660,1124,800825340,389769.39,US Dollar,389769.39,US Dollar,Cheque,1
2022/09/01 00:03,70,100428660,11474,805B716C0,29024.33,US Dollar,29024.33,US Dollar,Credit Card,1
2022/09/01 00:01,70,100428660,15980,80B39E7B0,792.92,US Dollar,792.92,US Dollar,Credit Card,1
2022/09/01 00:03,70,100428660,113798,80DC756E0,13171425.53,US Dollar,13171425.53,US Dollar,Cheque,1
2022/09/01 00:23,70,100428660,32375,80E480620,14288.83,US Dollar,14288.83,US Dollar,Cash,1
2022/09/01 00:23,231004,812EE86F0,21940,812EE89C0,3401.73,US Dollar,3401.73,US Dollar,ACH,1
2022/09/01 00:17,70,100428660,152980,8140702D0,6892.43,US Dollar,6892.43,US Dollar,Credit Card,1
2022/09/01 00:26,70,1004286A8,2591,800926A30,37145.3,Euro,37145.3,Euro,Cheque,1
2022/09/01 00:06,21174,800737690,12,80011F990,2848.96,Euro,2848.96,Euro,ACH,1
2022/09/01 04:33,21174,800737690,20,80020C5B0,8630.4,Euro,8630.4,Euro,ACH,1
2022/09/01 09:14,21174,800737690,20,80006A5E0,35642.49,Yuan,35642.49,Yuan,ACH,1
2022/09/01 09:56,21174,800737690,220,8007A5B70,5738987.96,US Dollar,5738987.96,US Dollar,ACH,1
2022/09/01 11:28,21174,800737690,1244,80093C0D0,7254.53,US Dollar,7254.53,US Dollar,ACH,1
2022/09/01 13:13,21174,800737690,513,80078E200,6990.87,US Dollar,6990.87,US Dollar,ACH,1
2022/09/01 14:11,21174,800737690,20,80066B990,12536.92,Euro,12536.92,Euro,ACH,1
2022/09/01 00:25,70,100428660,10,800059F50,5105.92,US Dollar,5105.92,US Dollar,Cheque,0
2022/09/01 00:16,70,100428660,220,800132390,15509630.09,US Dollar,15509630.09,US Dollar,Cheque,0
2022/09/01 00:01,70,100428660,220,800132390,18722.79,US Dollar,18722.79,US Dollar,Credit Card,0
2022/09/01 00:03,70,100428660,220,800132390,19780972.52,US Dollar,19780972.52,US Dollar,Cash,0
2022/09/01 00:14,70,100428660,220,800190EB0,22605.52,US Dollar,22605.52,US Dollar,Cheque,0
2022/09/01 00:06,70,100428660,220,800190EB0,4443.78,US Dollar,4443.78,US Dollar,Credit Card,0
2022/09/01 00:22,70,100428660,220,800190EB0,13809.74,US Dollar,13809.74,US Dollar,Cash,0
